Food Code,Food Name (minerals indian.csv),Food Category,Energy,Carbs,Fat,Protein,Fat value,Alpha Lino-lenic,Arachidic,Arginine,Behenic,Calcium,Carotene(µg),Chlorine,Choline-(mg),Chromium,Copper,Cystine,Folicacid(mg),Folicfree(mg),Histidine,IDF(g),Iron,Isole-ucine,Leucine,Ligno-ceric,Linoleic,Lysine,Magn-esium,Mang-anese,Methi-onine,Molyb-denum,Niacin(mg),Number of Records,Oleic,Palmi-toleic,Palmitic,Phenyl-alanine,Phosp-horus,Potassium,Riboflavin(mg),SDF(g),Sodium,Stearic,Sulphur,TDF(g),Thiamine(mg),Thre-onine,Total Mono Unsa-turates,Total N,Total Poly Unsaturates,Total Satur-ates,Trypt-ophan,Tyrosine,Valine,Vitamin-C(mg),Zinc
79,FENUGREEK LEAVES,leafy_vegetables,49,6,,4.4,0.9,,,350,,395,2340,165,0,0,0.1,0,0,0,110,3.2,1.93,330,390,,,300,33,0.2,90,0.4,0.8,1,,,,300,51,31,0.3,1.5,76.1,,167,4.7,0,200,,0.7,,,80,0,320,52,0.4
,"FETID CASSIA, fresh",,,5.5,,,,,,,,520,,0,,0,0,,,,,,12.4,,,,,,0,0,,0,,1,,,,,39,0,,,0,,0,,,,,,,,,,,,0
,FETID CASSIA (dried),,,43.5,,,,,,,,3200,,0,,0,0,,,,,,0,,,,,,0,0,,0,,1,,,,,292,0,,,0,,0,,,,,,,,,,,,0
,GARDEN CRESS,,,8.7,,,,,,,,360,,0,,0,0,,,,,,28.6,,,,,,0,0,,0,,1,,,,,110,0,,,0,,0,,,,,,,,,,,,0
,GARDEN SORREL (sepals),,,5.1,,,,,,,,130,,0,,0,0,,,,,,1.7,,,,,,0,0,,0,,1,,,,,20,0,,,0,,0,,,,,,,,,,,,0
84,GOGU,leafy_vegetables,56,9.9,,1.7,1.1,,,310,,172,2898,19,0,0,0.1,0,0,0,90,2.6,2.28,320,440,,,400,66,0.3,70,0,1.1,1,,,,200,40,0,0.4,1.2,0,,60,3.8,0.1,210,,0.27,,,40,0,240,20,0.3
,IPOMOEA STEMS,,,3.4,,,,,,,,80,,0,,0,0,,,,,,0.8,,,,,,0,0,,0,,1,,,,,30,0,,,0,,0,,,,,,,,,,,,0
,IPOMOEA LEAVES,,,3.1,,,,,,,,110,,0,,0,0,,,,,,3.9,,,,,,0,0,,0,,1,,,,,46,0,,,0,,0,,,,,,,,,,,,0
87,KNOL-KHOL GREENS,,43,6.4,,3.5,0.4,,,0,,740,4146,0,0,0,0,0,0,0,0,,13.3,330,500,,,540,0,0,50,0,3,1,,,,160,50,0,0,,0,,0,,0.3,130,,0.56,,,370,0,310,157,0
,KUPPAMENI,,,6,,,,,,,,667,,0,,0,0,,,,,,17.3,,,,,,0,0,,0,,1,,,,,99,0,,,0,,0,,,,,,,,,,,,0
