Food Name,Magn-esium,Sodium,Potassium,Copper,Mang-anese,Molyb-denum,Zinc,Chromium,Sulphur,Chlorine,Calcium,Phosp-horus,Iron,Carbs
WATER MELON SEEDS (kernal),0,0,0,0,0,0,0,0,0,0,100,937,7.4,4.5
ARISITHIPPILI,0,0,0,0,0,0,0,0,0,0,460,325,13.5,58.4
ASAFOETIDA,80,0,0,0.4,1.1,0,0.8,0.1,0,0,690,50,39.4,67.8
CARDAMOM,173,0,0,0.5,8.9,0,2.8,0,0,0,130,160,4.6,42.1
"CHILLIES, dry",0,14,530,0,0,0,0,0,0,0,160,370,2.3,31.6
"CHILLIES, green",272,0,0,1.4,1.4,0.1,1.8,0,0,0,30,80,4.4,3
"CLOVES, dry",130,0,0,1,4.8,0,1.5,0.1,0,0,740,100,11.7,46
"CLOVES, green",0,0,0,0,0,0,0,0,0,0,310,40,2.1,24.1
CORIANDER,239,32,990,1,1.7,0,3.3,0.1,0,0,630,393,7.1,21.6
CUMIN SEEDS,475,126,980,0.7,1,0,2.7,0,0,0,1080,511,11.7,36.6
FENUGREEK SEEDS,124,19,530,0.7,1,0,3.1,0.1,0,0,160,370,6.5,44.1
"GARLIC, dry",71,0,0,0.6,0.9,0,1.9,0,0,0,30,310,1.2,29.8
"GINGER, fresh",405,0,0,0.7,9.2,0,1.9,0.1,0,0,20,60,3.5,12.3
LIME PEEL,0,0,0,0,0,0,0,0,0,0,710,60,2.7,29.4
MACE,213,0,0,1.6,1.5,0,1.3,0,0,0,180,100,12.3,47.8
MANGO POWDER,0,0,0,0,0,0,0,0,0,0,180,16,45.2,64
NUTMEG,229,0,0,0.7,1.8,0,1.2,0.2,0,0,120,240,2.03,28.5
NUTMEG rind,0,0,0,0,0,0,0,0,0,0,40,10,2,11.2
OMUM,141,0,0,1,3.4,0,4.5,0.1,0,0,1525,443,12.5,24.6
"PEPPER, dry",171,0,0,1.4,4.1,0,1.3,0.1,0,0,460,198,12.4,49.2
"PEPPER, green",0,0,0,0,0,0,0,0,0,0,270,70,2.4,13.7
PEPPALI,0,0,0,0,0,0,0,0,0,0,1230,190,62.1,65.8
POPPY SEEDS,257,0,0,0.6,4.3,0,4.3,0.1,0,0,1584,432,15.9,36.8
TAMARIND PULP,41,0,0,0.2,0.6,0,0,0.1,0,0,170,110,17,67.4
TURMERIC,278,0,0,0.4,8.4,0,2.7,0.1,0,0,150,282,67.8,69.4
AMBADA,0,0,0,0,0,0,0,0,0,0,36,11,3.9,4.5
AMLA,0,5,225,0,0,0,0,0,0,0,50,20,1.2,13.7
APPLE,7,28,75,0.1,0.1,0,0.1,0,7,1,10,14,0.66,13.4
"APRICOT, fresh",0,0,430,0.1,0,0,0,0,0,0,20,25,2.2,11.6
"APRICOT, dried",0,0,0,0,0,0,0,0,0,0,110,70,4.6,73.4
AVOCADO PEAR,0,0,0,0,0,0,0,0,0,0,10,80,0.7,0.8
BAEL FRUIT,0,0,600,0.2,0,0,0,0,0,0,85,50,0.6,31.8
BANANA RIPE,41,36.6,88,0.2,0.2,0,0.2,0,7,8,17,36,0.36,27.2
BANYAN TREE FIGS,0,0,0,0,0,0,0,0,0,0,364,43,0,11.8
BILIMBI,0,0,130,0.1,0,0,0,0,0,0,15,10,1.2,3.5
BREAD FRUIT,0,0,0,0,0,0,0,0,0,0,40,30,0.5,15.8
